Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.01     0.00       10     0.00     0.00  wxSizer::Add(wxSizerItem*)
  0.00      0.01     0.00        9     0.00     0.00  wxFileName::~wxFileName()
  0.00      0.01     0.00        9     0.00     0.00  wxControlBase::wxControlBase()
  0.00      0.01     0.00        9     0.00     0.00  wxFormatString::wxFormatString(wxString const&)
  0.00      0.01     0.00        9     0.00     0.00  wxControl::wxControl()
  0.00      0.01     0.00        9     0.00     0.00  wxControl::~wxControl()
  0.00      0.01     0.00        9     0.00     0.00  wxWindowBase::AcceptsFocusFromKeyboard() const
  0.00      0.01     0.00        8     0.00     0.00  wxGetTranslation(wxString const&, wxString const&)
  0.00      0.01     0.00        8     0.00     0.00  wxCStrData::wxCStrData(wxString const*, unsigned int, bool)
  0.00      0.01     0.00        8     0.00     0.00  wxCStrData::~wxCStrData()
  0.00      0.01     0.00        8     0.00     0.00  wxNavigationEnabled<wxTopLevelWindow>::AddChild(wxWindowBase*)
  0.00      0.01     0.00        8     0.00     0.00  wxSizer::Add(wxWindow*, int, int, int, wxObject*)
  0.00      0.01     0.00        8     0.00     0.00  wxString::c_str() const
  0.00      0.01     0.00        7     0.00     0.00  wxWindow::MSWFindItem(long, HWND__*) const
  0.00      0.01     0.00        6     0.00     0.00  wxBitmap::wxBitmap(wxImage const&, int)
  0.00      0.01     0.00        5     0.00     0.00  wxAnyButtonBase::GetDefaultBorder() const
  0.00      0.01     0.00        4     0.00     0.00  wxEvtHandler::Connect(int, int, void (wxEvtHandler::*)(wxEvent&), wxObject*, wxEvtHandler*)
  0.00      0.01     0.00        4     0.00     0.00  wxWindowBase::SetThemeEnabled(bool)
  0.00      0.01     0.00        4     0.00     0.00  wxEventTypeTag<wxCommandEvent>::operator int const&() const
  0.00      0.01     0.00        3     0.00     0.00  wxFileName::wxFileName(wxString const&, wxPathFormat)
  0.00      0.01     0.00        3     0.00     0.00  wxAnyButton::wxAnyButton()
  0.00      0.01     0.00        3     0.00     0.00  wxButtonBase::wxButtonBase()
  0.00      0.01     0.00        3     0.00     0.00  wxButtonBase::~wxButtonBase()
  0.00      0.01     0.00        3     0.00     0.00  wxStaticText::wxStaticText(wxWindow*, int, wxString const&, wxPoint const&, wxSize const&, long, wxString const&)
  0.00      0.01     0.00        3     0.00     0.00  wxWindowBase::GetMainWindowOfCompositeControl()
  0.00      0.01     0.00        3     0.00     0.00  wxAnyButtonBase::wxAnyButtonBase()
  0.00      0.01     0.00        3     0.00     0.00  wxSizerItemList::wxSizerItemList(wxKeyType)
  0.00      0.01     0.00        3     0.00     0.00  wxSizerItemList::~wxSizerItemList()
  0.00      0.01     0.00        3     0.00     0.00  wxStaticTextBase::wxStaticTextBase()
  0.00      0.01     0.00        3     0.00     0.00  wxStaticTextBase::~wxStaticTextBase()
  0.00      0.01     0.00        3     0.00     0.00  wxSizer::wxSizer()
  0.00      0.01     0.00        3     0.00     0.00  wxButton::Init()
  0.00      0.01     0.00        3     0.00     0.00  wxAnyButton::GetNormalState() const
  0.00      0.01     0.00        3     0.00     0.00  wxWindowBase::CanApplyThemeBorder() const
  0.00      0.01     0.00        3     0.00     0.00  wxWindowBase::ConvertDialogToPixels(wxSize const&) const
  0.00      0.01     0.00        3     0.00     0.00  wxAnyButtonBase::ShouldInheritColours() const
  0.00      0.01     0.00        3     0.00     0.00  wxObjectEventFunctor::GetEvtMethod() const
  0.00      0.01     0.00        3     0.00     0.00  wxDialog::IsModal() const
  0.00      0.01     0.00        2     0.00     0.00  wxDialogBase::~wxDialogBase()
  0.00      0.01     0.00        2     0.00     0.00  wxWindowBase::Center(int)
  0.00      0.01     0.00        2     0.00     0.00  wxAppConsoleBase::OnEventLoopEnter(wxEventLoopBase*)
  0.00      0.01     0.00        2     0.00     0.00  wxTopLevelWindow::~wxTopLevelWindow()
  0.00      0.01     0.00        2     0.00     0.00  wxControlContainer::~wxControlContainer()
  0.00      0.01     0.00        2     0.00     0.00  wxNavigationEnabled<wxTopLevelWindow>::~wxNavigationEnabled()
  0.00      0.01     0.00        2     0.00     0.00  wxControlContainerBase::~wxControlContainerBase()
  0.00      0.01     0.00        2     0.00     0.00  wxSizer::Add(wxSizer*, int, int, int, wxObject*)
  0.00      0.01     0.00        2     0.00     0.00  wxButton::wxButton(wxWindow*, int, wxString const&, wxPoint const&, wxSize const&, long, wxValidator const&, wxString const&)
  0.00      0.01     0.00        2     0.00     0.00  wxDialog::wxDialog()
  0.00      0.01     0.00        2     0.00     0.00  wxAppBase::SetTopWindow(wxWindow*)
  0.00      0.01     0.00        2     0.00     0.00  wxPrivate::HandlerImpl<EntangleDialog, wxTreeEvent, true>::ConvertToEvtHandler(EntangleDialog*)
  0.00      0.01     0.00        2     0.00     0.00  wxWindowBase::DoGetBestClientSize() const
  0.00      0.01     0.00        2     0.00     0.00  wxEventFunctorMethod<wxEventTypeTag<wxTreeEvent>, EntangleDialog, wxTreeEvent, EntangleDialog>::GetEvtHandler() const
  0.00      0.01     0.00        2     0.00     0.00  wxNonOwnedWindowBase::AdjustForParentClientOrigin(int&, int&, int) const
  0.00      0.01     0.00        1     0.00     0.00  WinMain@16
  0.00      0.01     0.00        1     0.00     0.00  wxCreateApp()
  0.00      0.01     0.00        1     0.00     0.00  wxEventFunctorMethod<wxEventTypeTag<wxTreeEvent>, EntangleDialog, wxTreeEvent, EntangleDialog>* wxNewEventFunctor<wxEventTypeTag<wxTreeEvent>, EntangleDialog, wxTreeEvent, EntangleDialog>(wxEventTypeTag<wxTreeEvent> const&, void (EntangleDialog::*)(wxTreeEvent&), EntangleDialog*)
  0.00      0.01     0.00        1     0.00     0.00  wxBoxSizer::wxBoxSizer(int)
  0.00      0.01     0.00        1     0.00     0.00  wxTextAttr::wxTextAttr()
  0.00      0.01     0.00        1     0.00     0.00  wxTextAttr::~wxTextAttr()
  0.00      0.01     0.00        1     0.00     0.00  wxTextCtrl::wxTextCtrl(wxWindow*, int, wxString const&, wxPoint const&, wxSize const&, long, wxValidator const&, wxString const&)
  0.00      0.01     0.00        1     0.00     0.00  EntangleApp::OnInit()
  0.00      0.01     0.00        1     0.00     0.00  EntangleApp::EntangleApp()
  0.00      0.01     0.00        1     0.00     0.00  EntangleApp::~EntangleApp()
  0.00      0.01     0.00        1     0.00     0.00  EntangleApp::~EntangleApp()
  0.00      0.01     0.00        1     0.00     0.00  void wxEvtHandler::Bind<wxEventTypeTag<wxTreeEvent>, EntangleDialog, wxTreeEvent, EntangleDialog>(wxEventTypeTag<wxTreeEvent> const&, void (EntangleDialog::*)(wxTreeEvent&), EntangleDialog*, int, int, wxObject*)
  0.00      0.01     0.00        1     0.00     0.00  wxWindowBase::SetCanFocus(bool)
  0.00      0.01     0.00        1     0.00     0.00  wxWindowBase::SetMinClientSize(wxSize const&)
  0.00      0.01     0.00        1     0.00     0.00  EntangleDialog::EntangleDialog(wxWindow*, int)
  0.00      0.01     0.00        1     0.00     0.00  EntangleDialog::~EntangleDialog()
  0.00      0.01     0.00        1     0.00     0.00  wxBitmapButton::wxBitmapButton(wxWindow*, int, wxBitmap const&, wxPoint const&, wxSize const&, long, wxValidator const&, wxString const&)
  0.00      0.01     0.00        1     0.00     0.00  wxTextAreaBase::wxTextAreaBase()
  0.00      0.01     0.00        1     0.00     0.00  wxTextAreaBase::~wxTextAreaBase()
  0.00      0.01     0.00        1     0.00     0.00  wxTextCtrlBase::wxTextCtrlBase()
  0.00      0.01     0.00        1     0.00     0.00  wxTextCtrlBase::~wxTextCtrlBase()
  0.00      0.01     0.00        1     0.00     0.00  wxAnyButtonBase::SetBitmapLabel(wxBitmap const&)
  0.00      0.01     0.00        1     0.00     0.00  wxAppConsoleBase::CallOnInit()
  0.00      0.01     0.00        1     0.00     0.00  wxAppConsoleBase::OnEventLoopExit(wxEventLoopBase*)
  0.00      0.01     0.00        1     0.00     0.00  wxFileDropTarget::~wxFileDropTarget()
  0.00      0.01     0.00        1     0.00     0.00  wxGenericDirCtrl::wxGenericDirCtrl(wxWindow*, int, wxString const&, wxPoint const&, wxSize const&, long, wxString const&, int, wxString const&)
  0.00      0.01     0.00        1     0.00     0.00  wxBitmapButtonBase::wxBitmapButtonBase()
  0.00      0.01     0.00        1     0.00     0.00  wxBitmapButtonBase::~wxBitmapButtonBase()
  0.00      0.01     0.00        1     0.00     0.00  wxNavigationEnabled<wxTopLevelWindow>::SetFocus()
  0.00      0.01     0.00        1     0.00     0.00  DroppedFilesReciever::DroppedFilesReciever(EntangleDialog*)
  0.00      0.01     0.00        1     0.00     0.00  DroppedFilesReciever::~DroppedFilesReciever()
  0.00      0.01     0.00        1     0.00     0.00  DroppedFilesReciever::~DroppedFilesReciever()
  0.00      0.01     0.00        1     0.00     0.00  wxEventFunctorMethod<wxEventTypeTag<wxTreeEvent>, EntangleDialog, wxTreeEvent, EntangleDialog>::CheckHandlerArgument(wxTreeEvent*)
  0.00      0.01     0.00        1     0.00     0.00  wxEventFunctorMethod<wxEventTypeTag<wxTreeEvent>, EntangleDialog, wxTreeEvent, EntangleDialog>::wxEventFunctorMethod(void (EntangleDialog::*)(wxTreeEvent&), EntangleDialog*)
  0.00      0.01     0.00        1     0.00     0.00  wxEventFunctorMethod<wxEventTypeTag<wxTreeEvent>, EntangleDialog, wxTreeEvent, EntangleDialog>::~wxEventFunctorMethod()
  0.00      0.01     0.00        1     0.00     0.00  wxEventFunctorMethod<wxEventTypeTag<wxTreeEvent>, EntangleDialog, wxTreeEvent, EntangleDialog>::~wxEventFunctorMethod()
  0.00      0.01     0.00        1     0.00     0.00  wxImage::wxImage(wxString const&, wxBitmapType, int)
  0.00      0.01     0.00        1     0.00     0.00  wxButton::wxButton()
  0.00      0.01     0.00        1     0.00     0.00  wxLocale::AddCatalogLookupPathPrefix(wxString const&)
  0.00      0.01     0.00        1     0.00     0.00  wxLocale::wxLocale()
  0.00      0.01     0.00        1     0.00     0.00  wxPrivate::HandlerImpl<EntangleDialog, wxTreeEvent, true>::HandlerImpl()
