line, /Users/paulmc/optlib/wx3.0.0/lib/python2.7/site-packages/wx-3.0-osx_carbon/wx/lib/agw/aui/auibook.py:1742        --         for button in self._buttons:
line, /Users/paulmc/optlib/wx3.0.0/lib/python2.7/site-packages/wx-3.0-osx_carbon/wx/lib/agw/aui/auibook.py:1743        --             if button.rect.Contains((x,y)) and \
call, /Users/paulmc/optlib/wx3.0.0/lib/python2.7/site-packages/wx-3.0-osx_carbon/wx/_core.py:1509                      --     def Contains(*args, **kwargs):
line, /Users/paulmc/optlib/wx3.0.0/lib/python2.7/site-packages/wx-3.0-osx_carbon/wx/_core.py:1515                      --         return _core_.Rect_Contains(*args, **kwargs)
return, /Users/paulmc/optlib/wx3.0.0/lib/python2.7/site-packages/wx-3.0-osx_carbon/wx/_core.py:1515                    --         return _core_.Rect_Contains(*args, **kwargs)
line, /Users/paulmc/optlib/wx3.0.0/lib/python2.7/site-packages/wx-3.0-osx_carbon/wx/lib/agw/aui/auibook.py:1742        --         for button in self._buttons:
line, /Users/paulmc/optlib/wx3.0.0/lib/python2.7/site-packages/wx-3.0-osx_carbon/wx/lib/agw/aui/auibook.py:1743        --             if button.rect.Contains((x,y)) and \
call, /Users/paulmc/optlib/wx3.0.0/lib/python2.7/site-packages/wx-3.0-osx_carbon/wx/_core.py:1509                      --     def Contains(*args, **kwargs):
line, /Users/paulmc/optlib/wx3.0.0/lib/python2.7/site-packages/wx-3.0-osx_carbon/wx/_core.py:1515                      --         return _core_.Rect_Contains(*args, **kwargs)
return, /Users/paulmc/optlib/wx3.0.0/lib/python2.7/site-packages/wx-3.0-osx_carbon/wx/_core.py:1515                    --         return _core_.Rect_Contains(*args, **kwargs)
line, /Users/paulmc/optlib/wx3.0.0/lib/python2.7/site-packages/wx-3.0-osx_carbon/wx/lib/agw/aui/auibook.py:1742        --         for button in self._buttons:
line, /Users/paulmc/optlib/wx3.0.0/lib/python2.7/site-packages/wx-3.0-osx_carbon/wx/lib/agw/aui/auibook.py:1747        --         for button in self._tab_close_buttons:
line, /Users/paulmc/optlib/wx3.0.0/lib/python2.7/site-packages/wx-3.0-osx_carbon/wx/lib/agw/aui/auibook.py:1748        --             if button.rect.Contains((x,y)) and \
call, /Users/paulmc/optlib/wx3.0.0/lib/python2.7/site-packages/wx-3.0-osx_carbon/wx/_core.py:1509                      --     def Contains(*args, **kwargs):
line, /Users/paulmc/optlib/wx3.0.0/lib/python2.7/site-packages/wx-3.0-osx_carbon/wx/_core.py:1515                      --         return _core_.Rect_Contains(*args, **kwargs)
return, /Users/paulmc/optlib/wx3.0.0/lib/python2.7/site-packages/wx-3.0-osx_carbon/wx/_core.py:1515                    --         return _core_.Rect_Contains(*args, **kwargs)
line, /Users/paulmc/optlib/wx3.0.0/lib/python2.7/site-packages/wx-3.0-osx_carbon/wx/lib/agw/aui/auibook.py:1749        --                (button.cur_state & state_flags) == 0:
line, /Users/paulmc/optlib/wx3.0.0/lib/python2.7/site-packages/wx-3.0-osx_carbon/wx/lib/agw/aui/auibook.py:1750        --                 return button
return, /Users/paulmc/optlib/wx3.0.0/lib/python2.7/site-packages/wx-3.0-osx_carbon/wx/lib/agw/aui/auibook.py:1750      --                 return button
line, /Users/paulmc/optlib/wx3.0.0/lib/python2.7/site-packages/wx-3.0-osx_carbon/wx/lib/agw/aui/auibook.py:2035        --             if button is None:
line, /Users/paulmc/optlib/wx3.0.0/lib/python2.7/site-packages/wx-3.0-osx_carbon/wx/lib/agw/aui/auibook.py:2038        --             if button != self._pressed_button:
line, /Users/paulmc/optlib/wx3.0.0/lib/python2.7/site-packages/wx-3.0-osx_carbon/wx/lib/agw/aui/auibook.py:2042        --             self.Refresh()
call, /Users/paulmc/optlib/wx3.0.0/lib/python2.7/site-packages/wx-3.0-osx_carbon/wx/_core.py:10668                     --     def Refresh(*args, **kwargs):
line, /Users/paulmc/optlib/wx3.0.0/lib/python2.7/site-packages/wx-3.0-osx_carbon/wx/_core.py:10676                     --         return _core_.Window_Refresh(*args, **kwargs)
